code,start_date,end_date
000555.SZ,1994-04-08,2099-01-01
000557.SZ,1994-06-17,2099-01-01
000558.SZ,1994-05-09,2099-01-01
000559.SZ,1994-01-10,2099-01-01
000560.SZ,1994-02-02,2099-01-01
000561.SZ,1994-05-09,2099-01-01
000562.SZ,1994-02-02,2015-01-26
000563.SZ,1994-01-10,2099-01-01
000564.SZ,1994-01-10,2099-01-01
000565.SZ,1994-04-08,2099-01-01
000566.SZ,1994-05-25,2099-01-01
000567.SZ,1994-05-25,2099-01-01
000568.SZ,1994-05-09,2099-01-01
000570.SZ,1994-07-01,2099-01-01
000571.SZ,1994-05-25,2099-01-01
000572.SZ,1994-08-08,2099-01-01
000573.SZ,1994-08-15,2099-01-01
000576.SZ,1994-09-07,2099-01-01
000578.SZ,1995-03-03,2011-03-22
000581.SZ,1998-09-24,2099-01-01
000582.SZ,1995-11-02,2099-01-01
000584.SZ,1995-11-28,2099-01-01
000585.SZ,1995-12-13,2099-01-01
000586.SZ,1995-12-20,2099-01-01
000587.SZ,1996-04-25,2099-01-01
000589.SZ,1996-03-08,2099-01-01
000590.SZ,1996-01-19,2099-01-01
000591.SZ,1996-02-08,2099-01-01
000592.SZ,1996-03-27,2099-01-01
000593.SZ,1996-03-12,2099-01-01
000594.SZ,1996-03-20,2015-07-13
000595.SZ,1996-04-19,2099-01-01
000596.SZ,1996-09-27,2099-01-01
000597.SZ,1996-05-23,2099-01-01
000598.SZ,1996-05-29,2099-01-01
000599.SZ,1996-04-30,2099-01-01
000600.SZ,1996-06-06,2099-01-01
000601.SZ,1996-08-30,2099-01-01
000602.SZ,1996-08-19,2013-08-14
000603.SZ,1996-08-23,2099-01-01
000605.SZ,1996-09-13,2099-01-01
000606.SZ,1996-10-04,2099-01-01
000607.SZ,1996-08-30,2099-01-01
000608.SZ,1996-09-19,2099-01-01
000609.SZ,1996-10-10,2099-01-01
000610.SZ,1996-09-26,2099-01-01
000611.SZ,1996-10-08,2099-01-01
000612.SZ,1996-09-26,2099-01-01
000613.SZ,1997-01-28,2099-01-01
000615.SZ,1996-10-16,2099-01-01
000616.SZ,1996-11-08,2099-01-01
000617.SZ,1996-10-22,2099-01-01
000619.SZ,1996-10-23,2099-01-01
