2010-12-31 00:00:00,2010-12-31 00:00:00,2011-01-31 00:00:00,2011-01-31 00:00:00,2011-02-28 00:00:00,2011-02-28 00:00:00,2011-03-31 00:00:00,2011-03-31 00:00:00,2011-04-29 00:00:00,2011-04-29 00:00:00,2011-05-31 00:00:00,2011-05-31 00:00:00,2011-06-30 00:00:00,2011-06-30 00:00:00,2011-07-29 00:00:00,2011-07-29 00:00:00,2011-08-31 00:00:00,2011-08-31 00:00:00,2011-09-30 00:00:00,2011-09-30 00:00:00,2011-10-31 00:00:00,2011-10-31 00:00:00,2011-11-30 00:00:00,2011-11-30 00:00:00,2011-12-30 00:00:00,2011-12-30 00:00:00,2012-01-31 00:00:00,2012-01-31 00:00:00,2012-02-29 00:00:00,2012-02-29 00:00:00,2012-03-30 00:00:00,2012-03-30 00:00:00,2012-04-27 00:00:00,2012-04-27 00:00:00,2012-05-31 00:00:00,2012-05-31 00:00:00,2012-06-29 00:00:00,2012-06-29 00:00:00,2012-07-31 00:00:00,2012-07-31 00:00:00,2012-08-31 00:00:00,2012-08-31 00:00:00,2012-09-28 00:00:00,2012-09-28 00:00:00,2012-10-31 00:00:00,2012-10-31 00:00:00,2012-11-30 00:00:00,2012-11-30 00:00:00,2012-12-31 00:00:00,2012-12-31 00:00:00,2013-01-31 00:00:00,2013-01-31 00:00:00,2013-02-28 00:00:00,2013-02-28 00:00:00,2013-03-29 00:00:00,2013-03-29 00:00:00,2013-04-26 00:00:00,2013-04-26 00:00:00,2013-05-31 00:00:00,2013-05-31 00:00:00,2013-06-28 00:00:00,2013-06-28 00:00:00,2013-07-31 00:00:00,2013-07-31 00:00:00,2013-08-30 00:00:00,2013-08-30 00:00:00,2013-09-30 00:00:00,2013-09-30 00:00:00,2013-10-31 00:00:00,2013-10-31 00:00:00,2013-11-29 00:00:00,2013-11-29 00:00:00,2013-12-31 00:00:00,2013-12-31 00:00:00,2014-01-30 00:00:00,2014-01-30 00:00:00,2014-02-28 00:00:00,2014-02-28 00:00:00,2014-03-31 00:00:00,2014-03-31 00:00:00,2014-04-30 00:00:00,2014-04-30 00:00:00,2014-05-30 00:00:00,2014-05-30 00:00:00,2014-06-30 00:00:00,2014-06-30 00:00:00,2014-07-31 00:00:00,2014-07-31 00:00:00,2014-08-29 00:00:00,2014-08-29 00:00:00,2014-09-30 00:00:00,2014-09-30 00:00:00,2014-10-31 00:00:00,2014-10-31 00:00:00,2014-11-28 00:00:00,2014-11-28 00:00:00,2014-12-31 00:00:00,2014-12-31 00:00:00,2015-01-30 00:00:00,2015-01-30 00:00:00,2015-02-27 00:00:00,2015-02-27 00:00:00,2015-03-31 00:00:00,2015-03-31 00:00:00,2015-04-30 00:00:00,2015-04-30 00:00:00,2015-05-29 00:00:00,2015-05-29 00:00:00,2015-06-30 00:00:00,2015-06-30 00:00:00,2015-07-31 00:00:00,2015-07-31 00:00:00,2015-08-31 00:00:00,2015-08-31 00:00:00,2015-09-30 00:00:00,2015-09-30 00:00:00,2015-10-30 00:00:00,2015-10-30 00:00:00,2015-11-30 00:00:00,2015-11-30 00:00:00,2015-12-31 00:00:00,2015-12-31 00:00:00,2016-01-29 00:00:00,2016-01-29 00:00:00,2016-02-29 00:00:00,2016-02-29 00:00:00,2016-03-31 00:00:00,2016-03-31 00:00:00,2016-04-29 00:00:00,2016-04-29 00:00:00,2016-05-31 00:00:00,2016-05-31 00:00:00,2016-06-30 00:00:00,2016-06-30 00:00:00,2016-07-29 00:00:00,2016-07-29 00:00:00,2016-08-31 00:00:00,2016-08-31 00:00:00,2016-09-30 00:00:00,2016-09-30 00:00:00,2016-10-31 00:00:00,2016-10-31 00:00:00,2016-11-30 00:00:00,2016-11-30 00:00:00,2016-12-30 00:00:00,2016-12-30 00:00:00
code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight
000001.SZ,0.61,000001.SZ,0.58,000001.SZ,0.56,000001.SZ,0.57,000001.SZ,0.66,000001.SZ,0.69,000001.SZ,0.65,000001.SZ,0.64,000001.SZ,0.6,000001.SZ,0.64,000001.SZ,0.64,000001.SZ,0.63,000001.SZ,0.69,000001.SZ,0.69,000001.SZ,0.65,000001.SZ,0.64,000001.SZ,0.63,000001.SZ,0.59,000001.SZ,0.62,000001.SZ,0.63,000001.SZ,0.62,000001.SZ,0.56,000001.SZ,0.57,000001.SZ,0.59,000001.SZ,0.63,000001.SZ,0.76,000001.SZ,0.82,000001.SZ,0.77,000001.SZ,0.73,000001.SZ,0.75,000001.SZ,0.68,000001.SZ,0.63,000001.SZ,0.66,000001.SZ,0.7,000001.SZ,0.84,000001.SZ,0.79,000001.SZ,0.72,000001.SZ,0.8,000001.SZ,0.78,000001.SZ,0.77,000001.SZ,0.8,000001.SZ,0.82,000001.SZ,0.82,000001.SZ,0.83,000001.SZ,0.78,000001.SZ,0.72,000001.SZ,0.77,000001.SZ,0.79,000001.SZ,0.81,000001.SZ,0.71,000001.SZ,0.68,000001.SZ,0.66,000001.SZ,0.72,000001.SZ,0.62,000001.SZ,0.506,000001.SZ,0.502,000001.SZ,0.514,000001.SZ,0.516,000001.SZ,0.499,000001.SZ,0.506,000001.SZ,0.485,000001.SZ,0.526,000001.SZ,0.515,000001.SZ,0.508,000001.SZ,0.514,000001.SZ,0.513,000001.SZ,0.488,000001.SZ,0.509,000001.SZ,0.505,000001.SZ,0.493,000001.SZ,0.485,000001.SZ,0.483,000001.SZ,0.594
000002.SZ,1.1,000002.SZ,1.08,000002.SZ,1.0,000002.SZ,1.08,000002.SZ,1.07,000002.SZ,1.06,000002.SZ,1.12,000002.SZ,1.05,000002.SZ,1.09,000002.SZ,1.08,000002.SZ,1.15,000002.SZ,1.08,000002.SZ,1.25,000002.SZ,1.19,000002.SZ,1.19,000002.SZ,1.28,000002.SZ,1.3,000002.SZ,1.32,000002.SZ,1.37,000002.SZ,1.46,000002.SZ,1.33,000002.SZ,1.35,000002.SZ,1.35,000002.SZ,1.52,000002.SZ,1.5,000002.SZ,1.63,000002.SZ,1.62,000002.SZ,1.55,000002.SZ,1.62,000002.SZ,1.63,000002.SZ,1.59,000002.SZ,1.48,000002.SZ,1.39,000002.SZ,1.28,000002.SZ,1.32,000002.SZ,1.21,000002.SZ,1.11,000002.SZ,1.06,000002.SZ,0.96,000002.SZ,1.18,000002.SZ,1.16,000002.SZ,1.25,000002.SZ,1.16,000002.SZ,1.28,000002.SZ,1.17,000002.SZ,1.1,000002.SZ,1.11,000002.SZ,1.17,000002.SZ,1.2,000002.SZ,1.14,000002.SZ,1.05,000002.SZ,0.99,000002.SZ,0.89,000002.SZ,0.82,000002.SZ,0.857,000002.SZ,0.975,000002.SZ,1.087,000002.SZ,1.061,000002.SZ,1.018,000002.SZ,1.1,000002.SZ,1.339,000002.SZ,1.743,000002.SZ,1.783,000002.SZ,1.58,000002.SZ,1.612,000002.SZ,1.609,000002.SZ,1.552,000002.SZ,1.073,000002.SZ,1.503,000002.SZ,1.61,000002.SZ,1.497,000002.SZ,1.546,000002.SZ,1.064
000005.SZ,0.04,000005.SZ,0.03,000005.SZ,0.04,000005.SZ,0.04,000005.SZ,0.04,000005.SZ,0.04,000005.SZ,0.04,000005.SZ,0.04,000005.SZ,0.04,000005.SZ,0.04,000005.SZ,0.04,000005.SZ,0.04,000005.SZ,0.05,000006.SZ,0.05,000006.SZ,0.05,000006.SZ,0.06,000006.SZ,0.07,000006.SZ,0.06,000006.SZ,0.06,000006.SZ,0.06,000006.SZ,0.06,000006.SZ,0.06,000006.SZ,0.06,000006.SZ,0.06,000006.SZ,0.07,000006.SZ,0.07,000006.SZ,0.07,000006.SZ,0.06,000006.SZ,0.06,000006.SZ,0.06,000006.SZ,0.07,000006.SZ,0.06,000006.SZ,0.07,000006.SZ,0.06,000006.SZ,0.07,000006.SZ,0.08,000006.SZ,0.07,000006.SZ,0.06,000006.SZ,0.06,000006.SZ,0.08,000006.SZ,0.07,000006.SZ,0.07,000006.SZ,0.06,000006.SZ,0.06,000006.SZ,0.07,000006.SZ,0.07,000006.SZ,0.07,000006.SZ,0.07,000006.SZ,0.06,000006.SZ,0.05,000006.SZ,0.05,000006.SZ,0.06,000006.SZ,0.07,000006.SZ,0.09,000006.SZ,0.078,000006.SZ,0.079,000006.SZ,0.081,000006.SZ,0.076,000006.SZ,0.085,000006.SZ,0.079,000006.SZ,0.077,000006.SZ,0.065,000006.SZ,0.065,000006.SZ,0.065,000006.SZ,0.064,000006.SZ,0.059,000006.SZ,0.057,000006.SZ,0.057,000006.SZ,0.062,000006.SZ,0.072,000006.SZ,0.072,000006.SZ,0.067,000006.SZ,0.068
000006.SZ,0.06,000006.SZ,0.06,000006.SZ,0.06,000006.SZ,0.06,000006.SZ,0.06,000006.SZ,0.06,000006.SZ,0.06,000006.SZ,0.05,000006.SZ,0.05,000006.SZ,0.05,000006.SZ,0.05,000006.SZ,0.05,000006.SZ,0.05,000009.SZ,0.23,000009.SZ,0.2,000009.SZ,0.18,000009.SZ,0.18,000009.SZ,0.18,000009.SZ,0.17,000009.SZ,0.15,000009.SZ,0.16,000009.SZ,0.16,000009.SZ,0.16,000009.SZ,0.15,000009.SZ,0.15,000009.SZ,0.15,000009.SZ,0.14,000009.SZ,0.16,000009.SZ,0.16,000009.SZ,0.2,000009.SZ,0.2,000009.SZ,0.21,000009.SZ,0.19,000009.SZ,0.19,000009.SZ,0.18,000009.SZ,0.17,000009.SZ,0.17,000009.SZ,0.17,000009.SZ,0.21,000009.SZ,0.2,000009.SZ,0.19,000009.SZ,0.19,000009.SZ,0.19,000009.SZ,0.17,000009.SZ,0.26,000009.SZ,0.25,000009.SZ,0.24,000009.SZ,0.22,000009.SZ,0.17,000009.SZ,0.18,000009.SZ,0.19,000009.SZ,0.16,000009.SZ,0.18,000009.SZ,0.15,000009.SZ,0.126,000009.SZ,0.097,000009.SZ,0.114,000009.SZ,0.116,000009.SZ,0.156,000009.SZ,0.192,000009.SZ,0.162,000009.SZ,0.139,000009.SZ,0.132,000009.SZ,0.146,000009.SZ,0.148,000009.SZ,0.139,000008.SZ,0.074,000008.SZ,0.067,000008.SZ,0.061,000008.SZ,0.063,000008.SZ,0.063,000008.SZ,0.061,000008.SZ,0.059
000009.SZ,0.25,000009.SZ,0.26,000009.SZ,0.3,000009.SZ,0.25,000009.SZ,0.25,000009.SZ,0.25,000009.SZ,0.26,000009.SZ,0.28,000009.SZ,0.29,000009.SZ,0.27,000009.SZ,0.25,000009.SZ,0.29,000009.SZ,0.21,000012.SZ,0.21,000012.SZ,0.21,000012.SZ,0.19,000012.SZ,0.19,000012.SZ,0.19,000012.SZ,0.19,000012.SZ,0.17,000012.SZ,0.16,000012.SZ,0.15,000012.SZ,0.16,000012.SZ,0.16,000012.SZ,0.17,000012.SZ,0.16,000012.SZ,0.16,000012.SZ,0.15,000012.SZ,0.15,000012.SZ,0.2,000012.SZ,0.2,000012.SZ,0.18,000012.SZ,0.17,000012.SZ,0.16,000012.SZ,0.17,000012.SZ,0.17,000012.SZ,0.15,000012.SZ,0.15,000012.SZ,0.16,000012.SZ,0.16,000012.SZ,0.15,000012.SZ,0.14,000012.SZ,0.13,000012.SZ,0.13,000012.SZ,0.13,000012.SZ,0.13,000012.SZ,0.12,000012.SZ,0.12,000012.SZ,0.1,000012.SZ,0.11,000012.SZ,0.1,000012.SZ,0.11,000012.SZ,0.13,000012.SZ,0.12,000012.SZ,0.107,000012.SZ,0.108,000012.SZ,0.109,000012.SZ,0.1,000012.SZ,0.099,000012.SZ,0.098,000012.SZ,0.099,000012.SZ,0.102,000012.SZ,0.095,000012.SZ,0.095,000012.SZ,0.101,000012.SZ,0.099,000009.SZ,0.178,000009.SZ,0.175,000009.SZ,0.189,000009.SZ,0.176,000009.SZ,0.172,000009.SZ,0.162,000009.SZ,0.169
000012.SZ,0.21,000012.SZ,0.2,000012.SZ,0.22,000012.SZ,0.21,000012.SZ,0.19,000012.SZ,0.18,000012.SZ,0.18,000012.SZ,0.28,000012.SZ,0.29,000012.SZ,0.29,000012.SZ,0.24,000012.SZ,0.22,000012.SZ,0.21,000021.SZ,0.06,000021.SZ,0.06,000021.SZ,0.06,000021.SZ,0.06,000021.SZ,0.06,000021.SZ,0.06,000021.SZ,0.05,000021.SZ,0.05,000021.SZ,0.05,000021.SZ,0.05,000021.SZ,0.05,000021.SZ,0.05,000021.SZ,0.04,000021.SZ,0.04,000021.SZ,0.04,000021.SZ,0.04,000021.SZ,0.05,000021.SZ,0.05,000021.SZ,0.06,000021.SZ,0.06,000021.SZ,0.06,000021.SZ,0.05,000021.SZ,0.05,000021.SZ,0.04,000021.SZ,0.06,000021.SZ,0.05,000021.SZ,0.05,000021.SZ,0.05,000021.SZ,0.05,000021.SZ,0.05,000021.SZ,0.05,000021.SZ,0.05,000021.SZ,0.05,000021.SZ,0.05,000021.SZ,0.05,000021.SZ,0.04,000021.SZ,0.05,000021.SZ,0.05,000021.SZ,0.05,000021.SZ,0.05,000021.SZ,0.05,000021.SZ,0.068,000021.SZ,0.062,000021.SZ,0.052,000021.SZ,0.05,000021.SZ,0.062,000021.SZ,0.082,000021.SZ,0.063,000021.SZ,0.054,000021.SZ,0.054,000021.SZ,0.057,000021.SZ,0.056,000021.SZ,0.054,000012.SZ,0.086,000012.SZ,0.08,000012.SZ,0.087,000012.SZ,0.082,000012.SZ,0.083,000012.SZ,0.094,000012.SZ,0.079
000016.SZ,0.04,000016.SZ,0.04,000016.SZ,0.04,000016.SZ,0.04,000016.SZ,0.04,000016.SZ,0.04,000016.SZ,0.04,000016.SZ,0.03,000016.SZ,0.03,000016.SZ,0.04,000016.SZ,0.04,000016.SZ,0.04,000016.SZ,0.03,000024.SZ,0.2,000024.SZ,0.21,000024.SZ,0.23,000024.SZ,0.23,000024.SZ,0.26,000024.SZ,0.27,000024.SZ,0.26,000024.SZ,0.23,000024.SZ,0.24,000024.SZ,0.26,000024.SZ,0.3,000024.SZ,0.31,000024.SZ,0.28,000024.SZ,0.27,000024.SZ,0.24,000024.SZ,0.27,000024.SZ,0.28,000024.SZ,0.28,000024.SZ,0.3,000024.SZ,0.29,000024.SZ,0.24,000024.SZ,0.25,000024.SZ,0.22,000024.SZ,0.2,000024.SZ,0.19,000024.SZ,0.16,000024.SZ,0.2,000024.SZ,0.17,000024.SZ,0.18,000024.SZ,0.16,000024.SZ,0.17,000024.SZ,0.17,000024.SZ,0.16,000024.SZ,0.17,000024.SZ,0.19,000024.SZ,0.24,000024.SZ,0.24,000024.SZ,0.23,000024.SZ,0.25,000024.SZ,0.21,000024.SZ,0.19,000024.SZ,0.199,000024.SZ,0.232,000024.SZ,0.265,000024.SZ,0.253,000024.SZ,0.262,000024.SZ,0.284,000027.SZ,0.082,000027.SZ,0.071,000027.SZ,0.072,000027.SZ,0.072,000027.SZ,0.069,000027.SZ,0.066,000021.SZ,0.066,000021.SZ,0.068,000021.SZ,0.063,000021.SZ,0.061,000021.SZ,0.06,000021.SZ,0.059,000021.SZ,0.053
000021.SZ,0.11,000021.SZ,0.1,000021.SZ,0.1,000021.SZ,0.09,000021.SZ,0.09,000021.SZ,0.08,000021.SZ,0.07,000021.SZ,0.08,000021.SZ,0.07,000021.SZ,0.07,000021.SZ,0.07,000021.SZ,0.07,000021.SZ,0.06,000027.SZ,0.08,000027.SZ,0.08,000027.SZ,0.08,000027.SZ,0.07,000027.SZ,0.08,000027.SZ,0.08,000028.SZ,0.07,000028.SZ,0.08,000028.SZ,0.08,000028.SZ,0.08,000028.SZ,0.07,000028.SZ,0.08,000028.SZ,0.07,000028.SZ,0.06,000028.SZ,0.07,000028.SZ,0.07,000028.SZ,0.06,000028.SZ,0.06,000027.SZ,0.07,000027.SZ,0.07,000027.SZ,0.06,000027.SZ,0.07,000027.SZ,0.06,000028.SZ,0.09,000028.SZ,0.11,000028.SZ,0.1,000028.SZ,0.08,000028.SZ,0.07,000028.SZ,0.07,000027.SZ,0.06,000027.SZ,0.07,000027.SZ,0.07,000027.SZ,0.07,000027.SZ,0.07,000027.SZ,0.08,000027.SZ,0.08,000027.SZ,0.08,000027.SZ,0.07,000027.SZ,0.08,000027.SZ,0.07,000027.SZ,0.09,000027.SZ,0.089,000027.SZ,0.092,000027.SZ,0.1,000027.SZ,0.093,000027.SZ,0.096,000027.SZ,0.093,000028.SZ,0.058,000028.SZ,0.075,000028.SZ,0.077,000028.SZ,0.065,000028.SZ,0.073,000028.SZ,0.068,000027.SZ,0.062,000027.SZ,0.063,000027.SZ,0.064,000027.SZ,0.063,000027.SZ,0.062,000027.SZ,0.063,000025.SZ,0.023
000024.SZ,0.15,000024.SZ,0.15,000024.SZ,0.14,000024.SZ,0.16,000024.SZ,0.16,000024.SZ,0.16,000024.SZ,0.17,000024.SZ,0.16,000024.SZ,0.18,000024.SZ,0.18,000024.SZ,0.18,000024.SZ,0.18,000024.SZ,0.21,000028.SZ,0.04,000028.SZ,0.04,000028.SZ,0.04,000028.SZ,0.04,000028.SZ,0.05,000028.SZ,0.07,000029.SZ,0.01,000029.SZ,0.02,000029.SZ,0.01,000029.SZ,0.02,000029.SZ,0.02,000029.SZ,0.02,000031.SZ,0.06,000031.SZ,0.06,000031.SZ,0.05,000031.SZ,0.05,000031.SZ,0.06,000031.SZ,0.06,000028.SZ,0.07,000028.SZ,0.08,000028.SZ,0.09,000028.SZ,0.08,000028.SZ,0.08,000030.SZ,0.02,000030.SZ,0.02,000030.SZ,0.03,000030.SZ,0.03,000030.SZ,0.02,000030.SZ,0.02,000028.SZ,0.07,000028.SZ,0.08,000028.SZ,0.08,000028.SZ,0.08,000028.SZ,0.07,000028.SZ,0.06,000028.SZ,0.05,000028.SZ,0.05,000028.SZ,0.05,000028.SZ,0.05,000028.SZ,0.06,000028.SZ,0.06,000028.SZ,0.056,000028.SZ,0.06,000028.SZ,0.065,000028.SZ,0.06,000028.SZ,0.063,000028.SZ,0.061,000030.SZ,0.036,000030.SZ,0.032,000030.SZ,0.031,000030.SZ,0.032,000030.SZ,0.031,000030.SZ,0.031,000028.SZ,0.065,000028.SZ,0.071,000028.SZ,0.067,000028.SZ,0.07,000028.SZ,0.069,000028.SZ,0.065,000027.SZ,0.062
